original,one,two
6fourfive,66,65
hpghf2cfgrmb34,24,24
714,74,74
nineonemrzxsmtwo28,28,98
llgnrpcdxt4eightninedl9,49,49
pdvhcvpmceightpfjpgvbfnrhh9,99,89
gvzzrvhmj464,44,44
592eightmvkdnjqthreedtcldng9,59,59
77nineonethreerqnrgczsn4hhdnpbtkxthree,74,73
four78zrqfourtwo,78,42
5chnktntwoninezqzfhthreegpmkvrsbfs,55,53
mpgvbnzldvbhchthreeseven4cvone,44,31
nmfbdpeightfour9fiveqnnmbfsheightsix,99,86
onexrjdhtmsdkssrgghlfsx5fourtwofive,55,15
5seven3zfdnqxqqdgqcphhjctjhddfggrfstqrb7,57,57
hcpcvfllseven8,88,78
qhpmcthree1sixdjkg,11,36
32mgqbmsn6five4c1,31,31
seven78,78,78
four8three,88,43
9seven5five6,96,96
five67,67,57
twopqsjvpfxdone81gsztrlxrhx5,85,25
9bctqg,99,99
jqkhxlnvfhninepzmvfmm5,55,95
fglgdrnlnqthreeeightfoursevenseven368,38,38
nineeightjvzdqnpnzf86qpffrfsp6,86,96
34kckxkrq,34,34
sixppr854,84,64
oneeight6,66,16
7onerhqgbzheightpvxjnsfdnmfive,77,75
68seven3,63,63
56ninedgzqmlvjp22,52,52
six69nine7threethree,67,63
6oneightskl,66,68
5six9four5twoone,55,51
fivefourfourhvgfqrqst99,99,59
2qvvnrbvjhs8dstfpfnineldkpnkskz7,27,27
41jrhj9nfeightonecqrdg,49,41
7onefour8,78,78
rxtdz5gbxbvdxbbpghfvljdbknqsqgtmmgrhf,55,55
79kftqmdnbj,79,79
1cf4,14,14
threekdrpvtsdtrdfzxtvqh3,33,33
zxcnsfkvfivezhcknlhcqfour9159,99,59
twodjdbsfive7two,77,22
47bnvbkseven4one7,47,47
nleightwo7,77,87
twofive5gptl3nine6twopngsq,56,22
eightqn32seveneightqfrfmsfgqhfourvrgdkfnxn,32,84
sixfivefivepnxb1jqzx4lk5,15,65
three97onebssix2,92,32
fivebvkhcmt3one6twonegf,36,51
xzrv997pfhxsblfive8,98,98
5nptkzbsixxgpmrkxponegnnqfqtgvl4,54,54
7mvxkfkjkxninesevenxjtrjxbj,77,77
jfloneightfivetwo7flmf,77,17
qpncksix1fourthreesixtwo7fcjjdx,17,67
17nineninesixhpbh,17,16
four88ngtbtfcqfr6tjqbqhrktf,86,46
vgtvfsftvljjkxnsevenltszqrgm6cgxjlqsgcqonelcdjv,66,71
6tznfmdzxkt,66,66
nineoneninefive2oneightdp,22,98
kmjjzvblthreethreefour1dhrsk2pfjx,12,32
fourfive6six2,62,42
rmqzgfivenineeightnine6qqnxclq,66,56
fourninefive3kgeightonerfxsr,33,41
four7qjpkrfxsvt31seventhree,71,43
vqgqgk69twoseven,69,67
qfxvmhk9,99,99
six1b69,19,69
vcbmbfjrdpnfour9,99,49
twoclpjtndvxj8fpxblseven,88,27
28xrggnqqttk544,24,24
39hgczgvjhvs31fivesix,31,36
qstz85sevennine,85,89
ddc5lqftnmhldv4dxfvhrxcnltr61,51,51
ninedhhmpzntqlninef7,77,97
63fourhznh,63,64
three39foureight,39,38
4zlfzjfrqsixjzb,44,46
2sfiveeight,22,28
fourfivefive46,46,46
fglfbbseven7445three5mfgrmkfgdc,75,75
8sg,88,88
128three3seven,13,17
five4threehrggrjgjpninetwo5eight,45,58
3hjnmvhtfxpzmdt7224txvnpnjsjf6,36,36
beightwobhz86fdhsthreeqjxccxhjvk45r,85,85
lgd2sixf7,27,27
6ninefour,66,64
hmhfeightsevenvlgdrm3five6kkjblfqbjsnxtcxrpg,36,86
jxvh5jjxvfdeightwon,55,52
1qfqdqxvtsztkkjxqz,11,11
1onenineppgphdtt,11,19
fourrppqprfmlpxbvdhpltfive1qfzr,11,41
xhqkzhchcmfnrpstgntwobrntnm4,44,24
nplmsixmx5six,55,66
dtvrlxzdb4clddlfivefour4one,44,41
67cnqshcbgsix54two8,68,68
7s,77,77
fourfourhbv28six91,21,41
seven6twospmcsixcvmzfj9nine1,61,71
1five1bphjprtm2twoxfslkqh9four,19,14
eight7bfzdbfccfl7,77,87
8eightl,88,88
klfpjslgdmgbxlftszdltn1,11,11
eightseven5threeseven,55,87
onenjvvqsfhgfhmtv6foureight51,61,11
qttmv8zxdh25hshpn4,84,84
7875,75,75
3ljptgbzsix1sgqrqlgml6sevenfktjtgtv,36,37
tdtwonethreeeightfivethreeqmdmc9,99,29
rkx1,11,11
eightseven26ftngc,26,86
tjxxsdsnxg696xhthree,66,63
2gdbxmxqjxnninefivenzhpmx3zqh,23,23
91kq5sixspxqqvpjxrp,95,96
mkztv5knjkzrgcz,55,55
3ninefpdbptdnine3qpzc,33,33
fourtwodg86,86,46
nineeight1sixfourseven,11,97
dvlgone1foursndcghxgxzrtsztceight8,18,18
6bskrcjthree,66,63
fourninebgcqkdlrx79,79,49
4sevenxfoneh,44,41
gmvptkcgx69vqxmckppmlnptsrndfrhtc,69,69
9959ngrjdgltllpmrtbrgrdpnjlgl6three,96,93
2c,22,22
3qncfdmhdcmleight1,31,31
3eightvfstts,33,38
sd7175nlpq9xhfour,79,74
foursevenfour477four,47,44
snsixthree7bmlrvdtmx,77,67
nhsninesevenjjhgthzhfour66seven,66,97
52onepcltqtlnk,52,51
fivedvndklt1twoxplzqtgf,11,52
1twohpd8xxtwojmcblxxtdk,18,12
nnctpnrhjtqvcpnbncpfsixseven9rrbxblhcsr,99,69
95ninemvhbqhpkqksixsevenone,95,91
5seventwothree,55,53
threeonetwonine2,22,32
cqbrtdnjzgx38twoneshm,38,31
4fivenine1,41,41
czsfivenkkqbqbbpc1,11,51
sjmeighttwo32one771,31,81
5mtmkhkhd7nineeightrq4six,54,56
one7vknzhj9ninesix,79,16
jcsqnxhp1pmfpvkdmcgzm,11,11
zjm5two2,52,52
4onejhdtnhqtlcggbxpmhtfiveone,44,41
nr6hvcspxjgvmlbdtgs326two,66,62
fivevsrfcv5fnkpftvrbnine,55,59
kbtwonesixbbrtjvcbblzh4,44,24
2fourthree,22,23
eightntgeightfivesix8,88,88
twoninefive42,42,22
bcjxfqlqvfslqgq52,52,52
tmrthree8twoxthreers,88,33
9fivenineeight9xdnnqkfbnkg,99,99
onesclfxsljp2,22,12
5one34,54,54
18nlbghthpmhntqpxnfivebfstnkcrpvxmrlrhcq,18,15
fourthreesix43three2fhn,42,42
nine5zbqpcxffpmmzxp,55,95
dbjgphmmvf7eight,77,78
6tks,66,66
ldnkcj6572two5sevenf,65,67
6jlbdqjrx86pxxnhneight,66,68
191pbjnlqh7vkgvrhtrkxqfgxczq,17,17
qpxpcnmmmone3zkm2nine5gttbdpggf,35,15
vnbfthmm1hckvdcqqv1sixxpldbmnxmmgrbl,11,16
eight5ftlsixlmrf,55,86
6gtqkvvmvvq5seven6mkxvxpfthreenine,66,69
jbskqm5gfntjjqtz,55,55
2eight72,22,22
nineplkthreesxpeightxzkfvg4,44,94
xzcqqnq5seven2vtsldzpfnine,52,59
six9t1rmbnzrkdh1,91,61
75kcdztv7,77,77
two4gbffour,44,24
seven8rlqhshzsixmtmpvfzjpeight5sixvh,85,76
7nrrcqpdqhfourthree,77,73
21fivenine2kjxmlmnhz6,26,26
3stsfthreejgzxhbseven7threebfhlml,37,33
dtdeightwo4jxrfivebpzf,44,85
qhrr2five5oneightr,25,28
pp2pbjgmgffctbtseven,22,27
737kbsxrtpcgslrmcnd4,74,74
qpxrkdnineqzkkhzjfqqv7twocghmkrh47,77,97
gfptsfour4ldrjlvzghq,44,44
9ninezvxqzhlgzckb8fztrsevenvlqgdm,98,97
7562sjpbvpeighttwo,72,72
qsmnktmlpznxz25gpgjqsm,25,25
7two5tctnfxgqvd2four,72,74
rls41threezlpkvtbhvk4sixnine,44,49
six8dpd,88,68
msljvkd6fourbtzfjphskfxqpjkzmzgkxvqn6hddzxj,66,66
mfspzjjcfour49csfjgjkdmktns,49,49
b3tllpmmqkktclkntlbgkkg9five,39,35
rqnbftghx35,35,35
rcgrb26five,26,25
sevenvkhzbljfour9czkpdltxlbqbdgcpz,99,79
two7fivehrqeight,77,28
mgmvtjl1zffzbt3two,13,12
trxmmtdrvh1scjhcsevenonejmzhsbttgfseven,11,17
one8sixtwo58,88,18
nrs24,24,24
threerrrrtjhngptrpsrq8sevensixtwoonecntmmmxtjf,88,31
mzgmrh5qcml,55,55
4lfxxdgnnjzeightninesone,44,41
phvmnnvzseveneighttwosixplbrb5,55,75
sixnineqqgbmlxdrvsrfhkrff5,55,65
6sdfldthgvctwosevenvvnbgqxjrn,66,67
7112xslv,72,72
sevenfoureightfivefivelkhnxb98,98,78
nine6pljkszdp6,66,96
two4xlhfhrz5kbpstsfive,45,25
bbgdsix5,55,65
sevenlcbsdlhftwozsnx1two5,15,75
one2jjmlqsnxx1b,21,11
sevensixsix5sevenzqhjzlkjgnvsxfkfvxzhq,55,77
lone19four1,11,11
1fivesixpv,11,16
eightfour1,11,81
xsbgprjfthreefoursevenrqzbcbfnbhtwo2two,22,32
ldtwoseven47dcrppbfbv,47,27
1fivexgtwosixone18three,18,13
nine93oneseven,93,97
5qdneight61xpg,51,51
rdzckkb5five7ggmbkzjshx,57,57
37lxlgmveight8,38,38
scqvdhm9b,99,99
seven9six,99,76
pvthreesixfourgctbsix8eightseven,88,37
83oneonej,83,81
5four83cfmnthreeone,53,51
fivefiveeight1,11,51
9tnbqpthbn5kvgmsmfmfsevenqdrksixmbmgm,95,96
onecrs76,76,16
vgdqvmt23onesix,23,26
dlvmvtj6eight2dxjrhdlfghfhxcsxz6tbkz,66,66
414sixdbzhmxthree,44,43
sevenfivesevencffvbdhtk5qmplrjzxnjnbnt6,56,76
qgqjxchmxfourknine447three,47,43
4tfour,44,44
fivercfvsvlfglbxrtvxznhr8five,88,55
sevensixonesix7399,79,79
two17,17,27
zcmdlqzhps5twotwojkltrxb7three,57,53
xllqtjpxsixsevenfivefour29,29,69
ninetpzpr51,51,91
6751three6,66,66
rcfpnskfivethreelbtgpltxsevenfourbtcs8eightwokb,88,52
eight7rfr2,72,82
six5onenine29,59,69
zjbj238,28,28
rgprs5fiveldvmgqktnn,55,55
meightwossfvkncf5sevenfivesqpgrtnnj,55,85
onez4eightfour62tmrjmprthree,42,13
foursevenjtwoc3threesixfj,33,46
qmmzmzlxmthreezvzxv6zgcztv,66,36
73mbm,73,73
nine251k1,21,91
sixhtfhzcbtq7sevenonesnkpfvsnnnine,77,69
seven44vp4jxbrvkzcmlnjfiveoneightvzx,44,78
3twoseven5,35,35
one8mfpgflgqkb2six7dtgftrplb,87,17
lrgnb4ninetwo5vjsmmb9,49,49
6sixq2three,62,63
999eightvkpcpv4,94,94
947fourtxdmhv,97,94
9msczjqjggsk3six4,94,94
bone1,11,11
5fivevvlljvmsdgqjnrhfourkstccckr,55,54
7hpblpnmxqlninethreesixpvpnine,77,79
nineeightdsrqfdnghgkeightone8mpkvfdhz,88,98
4sevencrjtpdq,44,47
mbvgsfoneltqkfnbpftxhtv7two,77,12
onegbvcctwo8onesevenone2six,82,16
vt36onetlmtqbv,36,31
nvvxx51,51,51
threefnvcvbnzvs4,44,34
7rxcjjdeight81587,77,77
mdmjsg3seventhreesn,33,33
dtxsdmsvjcjx819jhhpzzf9,89,89
9jcxsninetsl2,92,92
6vcllfssthkxgdgh1ghjscsrvnhrpmjllh,61,61
6kkhpcjhmseighteightppvdkffdcpchttzone,66,61
878,88,88
sixdkkjchkjqtllfpn31rpgxspktkgxjgcf,31,61
2eightsixzs3kx9,29,29
sixthreetwo9,99,69
35vtgrpcqcnvfive,35,35
4ninegqqlc49fourthree4two,44,42
czd4eight,44,48
tfcmfdxhhqlroneninethree43,43,13
8tbx,88,88
1xqpdxznzhsixseveneight2,12,12
6hg9clj,69,69
vfnthreevzt88,88,38
seven4317pkxd13,43,73
stvltfvs7eightcmj,77,78
nbrxfmsshronesevenrrnp8seven4,84,14
7jvtgqvm36fivegccbpkp,76,75
6threeeightfive8tnlninekb,68,69
eight1sixtp,11,86
17ninezjhchkvq,17,19
tfxvhhkltlnffournlmlsqfclqlrsk31,31,41
two889threezthree1two,81,22
five9one48twothree,98,53
eightseven8dqjsixlrsrscgzjpfour4,84,84
988nine4fk3,93,93
76dfkqfbqzffplx,76,76
9zmgrr9,99,99
jhsbj4twohxrgdr,44,42
kgcfgninetwoctqzfbhhvffive2fzlk,22,92
8six25,85,85
six35oneseven7,37,67
2cvxrnine33four27zk,27,27
4xctr9threemrckmkmjgtpxzfqdzg,49,43
fivelrs3ncmgdxgqhnfqrlzlnbvrqp,33,53
3zgblb,33,33
rztshfoursixfour226four,26,44
2hfth,22,22
5d94fiveninezfvprvgtnxfive,54,55
21four5zcb6szsjgsseight,26,28
2fivefpdkzxxgchfourp25lsnqjrmxmq,25,25
gxlbzlfzsixtwo8snhpdtgdgthkrvzsxkd3,83,63
five4n2,42,52
gscjzkgkeightqlljzx12fiveonebqzmlh,12,81
xhsrzj1,11,11
klxkdzxvvrljbnrhfive7four7,77,57
3sxmbgvxkmkpfqxccvj8eight2hl,32,32
2bcdbsllgcmftxftmzrhnfive9dgkqpqkloneskztwonesgh,29,21
eightsix7nine7eight69,79,89
five6lsgslhtzzv,66,56
fivesix47,47,57
3kxfbcjz6vmhzvkgpjbfqq34seven,34,37
threevlmlfm58threebkfdzd5fourkpgddjlqsz,55,34
sevenzdeightdtxrxzckfktrfpm7,77,77
qjkrfltlsdrrcm6,66,66
795six3hmlkdnine3,73,73
foursixxjnqsljktnnbtwoeight2mskdbkbtk4,24,44
fivetwothreeeight9sixqhqzm,99,56
fiveqjdksix14jlzcvck,14,54
16sevensixvzjnh,16,16
nkpshpkptggnsxp272three,22,23
zrv86,86,86
35lgqsdfive6,36,36
x3npthreethreercmnlphkchmrmcg9seven,39,37
5sixninefiveninenkxrvmk,55,59
jfjqrvc3,33,33
bbqxjhds4,44,44
hdkqkq5twodbbrpnbmmj,55,52
4twosixcfdcf515two7,47,47
mgzljdxqkpzbhfh62threenine74mcvrf,64,64
4ninesevenvnblskhgxmhvkhpmxg,44,47
fourvktpjlpr5sevencfvthree,55,43
9six9vtrkdfjkbb4five7slq1,91,91
dhroneight9xthreenjqk,99,13
eighttwo1twopxzxghjs9,19,89
six35ctcjrmfclone,35,61
d1sixmmctvr8,18,18
qsgcbzdtworzgzbqtrd7pttltxjsgptwomfmrzns,77,22
sevenseven6twocqhvmvgxn9vmlxpfourjvqsnmlbd,69,74
7twopc2four,72,74
three1nineeightgrnzbpqsvbkpbqzvmqsnm,11,38
91fdf985tdjvtwo9,99,99
svlfivetwomjhzfourone7,77,57
bqpssscxckkljxxtwo8dpcbpqgq,88,28
gjhdqvgcfive3five,33,55
bpqdnpbf97tgpkkmdg,97,97
1lksrsrlqkmzmbfgpcqq,11,11
kfftvhrlqpstwoone6fiverklbhqqgdpvmnine,66,29
xbtfhfivenine9lpklrnrrbnthreensvgrvdzpfpvzznq1,91,51
xkfjtzdqmhnine96sdgfveightttbhfkthree,96,93
fourbz2six5,25,45
rggoneighttwo19vfdjvjbr86zkqmfclp,16,16
3fourx4klhkhglvjszj8,38,38
glg2fournine5sixxbjseven,25,27
3zdpsone,33,31
htxgljmx262five5,25,25
3ftshpgpnnhgspltjrvb3cgnghgzpvzlnxvzcjone,33,31
threebbnrxczqninetrone7eightseven8,78,38
g2seven,22,27
threeddtgc8,88,38
3fivepcfgpvjzsj471,31,31
28zfour7seven,27,27
clxslzrrkbbmxbkzfnreightone6twodlztb8g,68,88
9eight1,91,91
2gvvdgnvnptwohhztfggrndzhplqgx,22,22
qspcbvlv48,48,48
1eight1sevenrlhdnhs,11,17
fivetpnnlnp317seven,37,57
n4onetwoninexnvstftnchzfxzrqts,44,49
2lthreeseven,22,27
two3twoseveneightffournbrhmseven,33,27
seven6fsxnfqmlg75bznfkjbch81eight,61,78
4dgszfourggjmjjjrr5xmddgsgp,45,45
b5283sbqdn36qcrxnphkg,56,56
9lmklvnvczeight,99,98
cgm2vsrmjtzmbh,22,22
7lhqhfm5sevenlg,75,77
69cmcnbqseven6bnztjrpfvx,66,66
eight84nine8,88,88
92xcmffvvbr,92,92
fivefivetwotwoglzqftlfpnine2,22,52
gtffdsrzmmnine6fourtwo,66,92
cjnxbkvxq7onexjjhds,77,71
onenine9lgkp4bxztcseven,94,17
bthree4,44,34
bqq4dbjbkftfx2cxdrdgjsixxqlcgztnv,42,46
twovtxqhsgx72jtgfqzfqnine4,74,24
87gjbghccqrsqxbflkhk2fivelmkmjzmfzxbcmjtb,82,85
seven7six83vdxxrfbfkfg,73,73
sevendnjssc7threecrccqlsf5xtgmqk,75,75
sjphck271threekvldbgnvtcxlcdkf,21,23
sevennpfbbsb3kgpdm,33,73
ngmhtfnkjl5fourfivegnpb,55,55
xthdbtwofcgdrrjmfive1five,11,25
89hgld6sevensevenfour6,86,86
36kgtmxxx1fivenineseven,31,37
eightdklr6,66,86
23zkrplrpmlpclqjkrsrxcbjone9ffjrqvsix,29,26
5njvthreeftxjninefnlcq,55,59
1qb,11,11
three5258kpcrl,58,38
szggtxbvql443,43,43
3threemvbzslgqdninesevenxzgbfkcg64,34,34
6fivefmhtdcbpx,66,65
five4fivesix,44,56
9ninebrdczqjpnine,99,99
q33ninesix6threepbqjnjdb,36,33
onelvhdtljltmjgdsnine1eight7,17,17
one2seventwo,22,12
4jnfchm5jtqgbmnctrsix,45,46
5six3,53,53
eight9hklfhjnine2onerl6,96,86
2nzncz9fourdcqmmcfgbgsqchvnrdnrcthree,29,23
2337,27,27
tvqqfkxcg81eightfivedxmb,81,85
mxkcbqkptqbgqvgjxbrbnine3dtzhkmeightsixdxdhbpxd,33,96
two9szthjhjmcfseven4,94,24
rkcsnrl2btjgvbmlnine1jdjczcskjg622,22,22
six75three9,79,69
5threethreetwo8,58,58
1eightngz,11,18
seven3sixn2,32,72
three7pdfjtzfv5threesxpgrbkmx2khxcsbdblh,72,32
onezzrzpbvsmflzrlfmv4h46five5,45,15
6jdv,66,66
smseven3eightfivegzlkm3,33,73
nine7eight5,75,95
sixthreeone54four,54,64
7mrxpdc6xvkhcmtwo4,74,74
3crrcmxzqzfchtnvnh,33,33
nhxtwoseven84,84,24
9sixvltbsix,99,96
6ctsnvvgm9sixpjhmtskzggtgsevenseven,69,67
ninehfqcvgkgqf167one1sixeightwocf,11,92
dtsg38sixtwonephq,38,31
rpfbnzn2vhjxeightqdfbqmpgpdqn,22,28
cncdqcbgzt8,88,88
xbhqsrfp6357ftq7,67,67
1rnnz277,17,17
8threeonejvkfldcrnxjflltr9,89,89
l8sevenseven8qmm5plczqnkrhvkppb,85,85
one7qjgnslmrdnbsone451xffltxrvdk,71,11
hmcmtzcl59,59,59
8qqffcfhj59,89,89
rzlkxvgckrfvnone2rjtwo,22,12
two9ninesevennine37,97,27
2x5,25,25
4cjkghzhtfrdhhcrjvt2,42,42
cpbhsgbzt8nzcjqnine5cntrngcqj,85,85
9three4sixeightcxmvmgglf,94,98
31dptlfdphx7three,37,33
fiveonethreesixppgpbzr8jlrpzhr,88,58
731bdfdvtpqb3pcbrsxvtxbtgphzdbsixfive,73,75
1gxmppthreetwo1xrslpjqq,11,11
2three3four4,24,24
pbdlpv56eight52,52,52
qmspclflmrckcbbqxnthreeone7dczkjhxnvjtkx,77,37
78dslfsggrkp,78,78
vntwonesixfourvsmmmgpghm3,33,23
three981flhdlvkseventwo,91,32
fqv9twopvk,99,92
pthpkvdqcn1,11,11
qtz763six8eightzxbcp,78,78
67vtscljxslhfpt8,68,68
2mqfhbpn,22,22
1jtdcgrlrpdmjbmlptgdzjfgqb,11,11
1twoeight6znzgxf8one,18,11
9gngqbsprhmhpsgzps,99,99
gjqsfhfivenine4pfhxthtjthgsm38,48,58
five1twofiveninetwofive2jrtzvtf,12,52
ninethreetbmcb2nine,22,99
96fztmrseveneightbhfpqjbsixvhjfvzzjdc,96,96
8threenineonejhhcmnnrzsnbzcstzqtfsthree,88,83
9onesixdttqqjvfour8,98,98
sixtcfdhjlddncmskrfoursix72,72,62
868fivevsstbpxtwo,88,82
four2onesix,22,46
four4ktnggkpfvtwozqqpsckb7,47,47
eightfour4threeninesixnbtzsevenjxpsn,44,87
sixfcmnbdflf7four7,77,67
mqvjfdhhbqkpkdx5sevenhrhkphqrsix,55,56
cb3bngnjgmjng,33,33
6jfive,66,65
roneightseven27fivetwofourfourbzshqvxdc,27,14
ltwone4zpvhninenm1eightktmkbpvlkkhzhvfc,41,28
84dslslds,84,84
bphdhtwo2ckktccnrqjptwo,22,22
six27glzs,27,67
threedxsdjsgmlvrtnmzjbvt71kdfiverpddfrczjhs,71,35
ddqlb4mtpfthreerkztrmxvbhhnjqmmdxdmlffcrhoneightfcg,44,48
qr1,11,11
56threenine6hgvtwotwofnjbppqppb,56,52
vb2fourninethree4knvzpjcj,24,24
threetlsevenfourgcjmzprone5three,55,33
5fourrrqhbrbq7three41,51,51
five8qpxdsdpxeightphjvbmtp,88,58
9one522,92,92
f3pklscq,33,33
4sjfiveht3xknmkndsgfjvl1zqdt,41,41
three4vjjg691,41,31
99grcttgddb,99,99
7pgh8sixsm5five,75,75
one185kjbftmplhqdkfvrh,15,15
4kzrchdkv2tgbrkghhnine6,46,46
sccnhhmmfournvbbvrlpfsevenfivefive8,88,48
frrrdkzvfg7blgqj7threecqhvvgfd,77,73
fivehsfkmbvxddkfrrngfivefive4four6,46,56
9onetwozcgntxrdzeight4zpnqkxsfpcggtrjjk4,94,94
5jbmn4nbzbmmkbvxstchl,54,54
fivenine4vvtfhrhbdeight4294,44,54
onefour749oneghm,79,11
one97czzjrrddjsb1nine,91,19
nine4sixsix,44,96
4eightthree3three,43,43
45rxpndjsmq6fourqpmk,46,44
seven93,93,73
5173five7kvgqpttwonemh,57,51
ninefive2n1eight,21,98
452zdvjfczspmcknblsmzznvrlhkmn,42,42
47onexntj2sixsixthree,42,43
nine9threesixfsmnfour51six,91,96
pgtfttdkjmz47,47,47
5threeone9gr2vjjcrbslcp,52,52
jsfour7fnmqgsxlnine2gsmmkgvj5gbvx,75,45
bktwonngqchlqghpnmlzxnthkpjgcjsr98eight,98,28
tczsjfcxfgjzbxeightnine5twoone,55,81
48,48,48
99flzfrrjdp69zxjdphrbbsixthreetpzn,99,93
five82fourxczgknkgk,82,54
six7fourbeight,77,68
oneeight4kxsdrpsix169dh,49,19
mnine9,99,99
npxvqkbpdtddhlggthreempqqblzfmmvc1mknf,11,31
56v9two24zdscdf,54,54
tmcbxhvhptvtwosdhltwo4mvjphvjjrsglrxbjrthree,44,23
threefive3skzsspkfqp61,31,31
three5three315xgjgphdr,55,35
8jvqvpspkqgbl,88,88
1vpkglvlxs2sixgc6eight3,13,13
hzshxqgxzttwovkfive3fgmctvvdfsbjhdt,33,23
prsqrjcrrj9nxgq2,92,92
dfsfxtdj19lqlblbmb1,11,11
ltlmvf81xsztgzpljcxx8,88,88
lrqxphqhthreetwolqjsixtwo81,81,31
nstpljlpt1sixnineone91,11,11
one4xcrhhdhsvveightfive,44,15
rfmdkpmbrhrnzqtqnrvdv4two5,45,45
ndf8mccqlzqrjjcpzzpbjrmclpkvkkltvgfsfour,88,84
two8three11eightwom,81,22
five5xpzcmtxnqj,55,55
7238fouronerxjvqtmhtljcnine,78,79
zdfmfkfbkb2seven,22,27
3fbkzxmz,33,33
21one699eightcqfs1,21,21
68vpgggr,68,68
97s9eight7,97,97
pkxvtvgtrdsqkgclnkxhjr3threelr,33,33
954lcthpqcscz,94,94
twothreevshxfjvnq6,66,26
rsnkplhfive3pmpkknnvbf6bvxqhbjhc,36,56
hhxhhpnrsevensztgxnqhmzcsnsxgblc7754,74,74
grjdsxzhjldjckhbxbrqlbbjhntjjv79,79,79
five7sevenfive,77,55
ghljgxzbfourcvqqnnine1rrmftfr,11,41
koneightbfxgjjzkkgsqzhhdctg4,44,14
cgtxldhfourtwoseven9zlhgrchhvfhrgmqdgnine,99,49
51twothree6x,56,56
sevenrfseven1sqmhzrg,11,71
bpnmzncsix3one6gzpzfsrfbp36,36,66
stjgqone46seven,46,17
gzrnkk7ninefour,77,74
fivefgnfkn4tzjxtjlrfive1,41,51
bdpgnthrf83nffzpeightmj,83,88
twotwovzbvbrsgseventhree15,15,25
7ninexqjggfvqndsdcg2,72,72
three8fivehpfxncpxv4three,84,33
twofive6rctmlhrxxlthreerrrvstvvqx,66,23
rgfdddkmvkfvjspmzzp6hxprqlvseven,66,67
threexhqqhone3six67l,37,37
eightseven56krtbthree,56,83
seven99,99,79
